date,time,testing_party,site,subsite,type,body_wave_magnitude,surface_wave_magnitude,explosive_yield,latitude,longitude,purpose,device_type,rock_type,device_position,name,references
450716,,US,ANM,,OWR,,,21,33.675N,106.475W,WR,P,,,TRINITY,EN
450805,,US,HRJ,,IRD,,,15,,,**,U,,,LITTLEBO,EN
450809,,US,NGJ,,IRD,,,21,,,**,P,,,FAT MAN,EN
460630,,US,BKN,,IRD,,,21,11.000N,165.000E,WE,P,,,ABLE,EN
460724,,US,BKN,,NDW,,,21,,,WE,P,,,BAKER,EN
480414,,US,ENW,,OWR,,,37,11.000N,162.000E,WR,,,,XRAY,E
480430,,US,ENW,,OWR,,,49,11.000N,162.000E,WR,,,,YOKE,E
480514,,US,ENW,,OWR,,,18,11.000N,162.000E,WR,U,,,ZEBRA,EN
490829,,CP,,,OWR,,,10-20,48.000N,076.000E,,P,,,JOE 1,N
510127,,US,NTS,F,IRD,,,1,37.000N,116.000W,WR,,,,ABLE,EN
510128,,US,NTS,F,IRD,,,8,37.000N,116.000W,WR,,,,BAKER,EN
510201,,US,NTS,F,IRD,,,1,37.000N,116.000W,WR,,,,EASY,EN
510202,,US,NTS,F,IRD,,,8,37.000N,116.000W,WR,,,,BAKER-2,EN
510206,,US,NTS,F,IRD,,,22,37.000N,116.000W,WR,,,,FOX,EN
510407,,US,ENW,,OWR,,,70,,,WR,,,,DOG,EN
510420,,US,ENW,,OWR,,,47,,,WR,,,,EASY,EN
510508,,US,ENW,,OWR,,,225,,,WR,B,,,GEORGE,EN
510524,,US,ENW,,OWR,,,45.5,,,WR,B,,,ITEM,EN
510924,,CP,,,URF,,,25,,,,,,,JOE 2,N
511018,,CP,,,TMO,,,50,48.000N,076.000E,,,,,JOE 3,N
511022,,US,NTS,,OWR,,,l0.1,,,WR,,,,ABLE,E
511028,,US,NTS,,IRD,,,3.5,,,WR,,,,BAKER,E
511030,,US,NTS,,IRD,,,14,,,WR,,,,CHARLIE,E
511101,,US,NTS,,IRD,,,21,,,WR,,,,DOG,E
511105,,US,NTS,,IRD,,,31,,,WR,,,,EASY,E
511119,,US,NTS,,URF,,,1.2,,,WE,,,,SUGAR,E
511129,,US,NTS,,RAT,,,1.2,,,WE,,,,UNCLE,E
520401,,US,NTS,,IRD,,,1,,,WE,,,,ABLE,E
520415,,US,NTS,,IRD,,,1,,,WE,,,,BAKER,E
520422,,US,NTS,,IRD,,,31,,,WR,,,,CHARLIE,E
520501,,US,NTS,,IRD,,,19,,,WR,,,,DOG,E
520507,,US,NTS,,OWR,,,12,,,WR,,,,EASY,E
520525,,US,NTS,,OWR,,,11,,,WR,,,,FOX,E
520601,,US,NTS,,OWR,,,15,,,WR,,,,GEORGE,E
520605,,US,NTS,,OWR,,,14,,,WR,,,,HOW,E
521003,,GB,MBI,,HIP,,,,,,,,,,HURRICAN,B
521031,,US,ENW,,URF,,,10400,,,WR,2,,,MIKE,EN
521115,,US,ENW,,IRD,,,500,,,WR,,,,KING,E
530317,,US,NTS,,OWR,,,16,,,WR,,,,ANNIE,E
530324,,US,NTS,,OWR,,,24,,,WR,,,,NANCY,E
530331,,US,NTS,,OWR,,,0.2,,,WR,,,,RUTH,E
530406,,US,NTS,,IRD,,,11,,,WR,,,,DIXIE,E
530411,,US,NTS,,OWR,,,0.2,,,WR,,,,RAY,E
530418,,US,NTS,,OWR,,,23,,,WR,,,,BADGER,E
530425,,US,NTS,,OWR,,,43,,,WR,,,,SIMON,E
530508,,US,NTS,,IRD,,,27,,,WE,,,,ENCORE,E
530519,,US,NTS,,OWR,,,32,,,WR,,,,HARRY,E
530525,,US,NTS,,RT,,,15,,,WR,,,,GRABLE,E
530604,,US,NTS,,IRD,,,61,,,WR,,,,CLIMAX,E
530812,,CP,,,OWR,,2,0-300,,,,,,,JOE 4,N
530823,,CP,,,TMO,,,,,,,,,,JOE 5-7,N
531014,223000.0,GB,EMU,,OWR,,,,28S,135E,,,,,TOTEM,B
531026,223000.0,GB,EMU,,OWR,,,,,,,,,,,B
540228,,US,BKN,,URF,,,15000,,,WR,2,,,BRAVO,EN
540326,,US,BKN,,ARG,,,11000,,,WR,2,,,ROMEO,EN
540406,,US,BKN,,URF,,,110,,,WR,,,,KOON,E
540425,,US,BKN,,ARG,,,6900,,,WR,2,,,UNION,EN
