date,origin_t,id_no,country,region,source,latitude,longitude,mb,Ms,depth,yield_1,yield_u,purpose,name,type,date_long,year
450716,123000.0,45001,USA,ALAMOGORDO,DOE,32.54,-105.57,0.0,0.0,-0.1,21.0,21.0,WR,TRINITY,TOWER,19450716,1945
450805,231500.0,45002,USA,HIROSHIMA,DOE,34.23,132.27,0.0,0.0,-0.6,15.0,15.0,COMBAT,LITTLEBOY,AIRDROP,19450805,1945
450809,15800.0,45003,USA,NAGASAKI,DOE,32.45,129.52,0.0,0.0,-0.6,21.0,21.0,COMBAT,FATMAN,AIRDROP,19450809,1945
460630,220100.0,46001,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.2,21.0,21.0,WE,ABLE,AIRDROP,19460630,1946
460724,213500.0,46002,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,0.03,21.0,21.0,WE,BAKER,UW,19460724,1946
480414,181700.0,48001,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.08,37.0,37.0,WR,X-RAY,TOWER,19480414,1948
480430,180900.0,48002,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.08,49.0,49.0,WR,YOKE,TOWER,19480430,1948
480514,180400.0,48003,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.08,18.0,18.0,WR,ZEBRA,TOWER,19480514,1948
490829,12000.0,49001,USSR,SEMI KAZAKH,DOE,48.0,76.0,0.0,0.0,0.0,22.0,22.0,WR,,SURFACE,19490829,1949
510127,134500.0,51001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,1.0,1.0,WR,ABLE,AIRDROP,19510127,1951
510128,135200.0,51002,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,8.0,8.0,WR,BAKER,AIRDROP,19510128,1951
510201,134700.0,51003,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,1.0,1.0,WR,EASY,AIRDROP,19510201,1951
510202,134900.0,51004,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.4,8.0,8.0,WR,BAKER2,AIRDROP,19510202,1951
510206,134700.0,51005,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.5,22.0,22.0,WR,FOX,AIRDROP,19510206,1951
510407,183400.0,51006,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.1,81.0,81.0,WR,DOG,TOWER,19510407,1951
510420,182700.0,51007,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.1,47.0,47.0,WR,EASY,TOWER,19510420,1951
510508,213000.0,51008,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.07,225.0,225.0,WR,GEORGE,TOWER,19510508,1951
510524,181700.0,51009,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.07,45.5,45.5,WR,ITEM,TOWER,19510524,1951
510924,0.0,51010,USSR,SEMI KAZAKH,DOE,48.0,76.0,0.0,0.0,0.0,38.0,38.0,WR,,SURFACE,19510924,1951
